Rho (density): 0.300000
Map width/height: 3500
Seed: 1564
Maximum number of clusters: 400
Data file: map.dat
PGM file: map.pgm
rho = 0.300000, actual density = 0.299965
Number of changes on loop 456 is 7878736
Number of changes on loop 457 is 7877524
Number of changes on loop 458 is 7875868
Number of changes on loop 459 is 7874178
Number of changes on loop 460 is 7872835
Number of changes on loop 461 is 7872364
Number of changes on loop 462 is 7870522
Number of changes on loop 463 is 7869019
Number of changes on loop 464 is 7868595
Number of changes on loop 465 is 7868343
Number of changes on loop 466 is 7868097
Number of changes on loop 467 is 7866752
Number of changes on loop 468 is 7865972
Number of changes on loop 469 is 7864152
Number of changes on loop 470 is 7862315
Number of changes on loop 471 is 7860287
Number of changes on loop 472 is 7858547
Number of changes on loop 473 is 7858086
Number of changes on loop 474 is 7856861
Number of changes on loop 475 is 7856715
Number of changes on loop 476 is 7854720
Number of changes on loop 477 is 7853145
Number of changes on loop 478 is 7851899
Number of changes on loop 479 is 7849542
Number of changes on loop 480 is 7847767
Number of changes on loop 481 is 7846497
Number of changes on loop 482 is 7845910
Number of changes on loop 483 is 7844401
Number of changes on loop 484 is 7843488
Number of changes on loop 485 is 7842144
Number of changes on loop 486 is 7840770
Number of changes on loop 487 is 7839150
Number of changes on loop 488 is 7837219
Number of changes on loop 489 is 7836781
Number of changes on loop 490 is 7834655
Number of changes on loop 491 is 7834649
Number of changes on loop 492 is 7832927
Number of changes on loop 493 is 7831722
Number of changes on loop 494 is 7831137
Number of changes on loop 495 is 7830331
Number of changes on loop 496 is 7829315
Number of changes on loop 497 is 7826518
Number of changes on loop 498 is 7825760
Number of changes on loop 499 is 7824104
Number of changes on loop 500 is 7822614
Number of changes on loop 501 is 7820675
Number of changes on loop 502 is 7819616
Number of changes on loop 503 is 7818878
Number of changes on loop 504 is 7817305
Number of changes on loop 505 is 7817211
Number of changes on loop 506 is 7815780
Number of changes on loop 507 is 7813305
Number of changes on loop 508 is 7812008
Number of changes on loop 509 is 7811227
Number of changes on loop 510 is 7810218
Number of changes on loop 511 is 7808915
Number of changes on loop 512 is 7808146
Number of changes on loop 513 is 7805979
Number of changes on loop 514 is 7805031
Number of changes on loop 515 is 7804047
Number of changes on loop 516 is 7802763
Number of changes on loop 517 is 7801185
Number of changes on loop 518 is 7800884
Number of changes on loop 519 is 7799038
Number of changes on loop 520 is 7797296
Number of changes on loop 521 is 7795636
Number of changes on loop 522 is 7794078
Number of changes on loop 523 is 7792763
Number of changes on loop 524 is 7791570
Number of changes on loop 525 is 7790811
Number of changes on loop 526 is 7788986
Number of changes on loop 527 is 7787637
Number of changes on loop 528 is 7785726
Number of changes on loop 529 is 7784629
Number of changes on loop 530 is 7782396
Number of changes on loop 531 is 7782402
Number of changes on loop 532 is 7782081
Number of changes on loop 533 is 7779748
Number of changes on loop 534 is 7778920
Number of changes on loop 535 is 7776868
Number of changes on loop 536 is 7776857
Number of changes on loop 537 is 7776084
Number of changes on loop 538 is 7775884
Number of changes on loop 539 is 7774117
Number of changes on loop 540 is 7771305
Number of changes on loop 541 is 7769564
Number of changes on loop 542 is 7768414
Number of changes on loop 543 is 7767904
Number of changes on loop 544 is 7766582
Number of changes on loop 545 is 7765285
Number of changes on loop 546 is 7764710
Number of changes on loop 547 is 7763891
Number of changes on loop 548 is 7762074
Number of changes on loop 549 is 7760626
Number of changes on loop 550 is 7758302
Number of changes on loop 551 is 7757005
Number of changes on loop 552 is 7755776
Number of changes on loop 553 is 7754552
Number of changes on loop 554 is 7753045
Number of changes on loop 555 is 7750861
Number of changes on loop 556 is 7749944
Number of changes on loop 557 is 7748725
Number of changes on loop 558 is 7748399
Number of changes on loop 559 is 7747623
Number of changes on loop 560 is 7745148
Number of changes on loop 561 is 7743118
Number of changes on loop 562 is 7741807
Number of changes on loop 563 is 7740554
Number of changes on loop 564 is 7738766
Number of changes on loop 565 is 7737307
Number of changes on loop 566 is 7737011
Number of changes on loop 567 is 7736188
Number of changes on loop 568 is 7734844
Number of changes on loop 569 is 7732714
Number of changes on loop 570 is 7731711
Number of changes on loop 571 is 7730582
Number of changes on loop 572 is 7729133
Number of changes on loop 573 is 7727905
Number of changes on loop 574 is 7727119
Number of changes on loop 575 is 7726177
Number of changes on loop 576 is 7726203
Number of changes on loop 577 is 7724353
Number of changes on loop 578 is 7722373
Number of changes on loop 579 is 7722051
Number of changes on loop 580 is 7720444
Number of changes on loop 581 is 7719144
Number of changes on loop 582 is 7717934
Number of changes on loop 583 is 7716480
Number of changes on loop 584 is 7713973
Number of changes on loop 585 is 7712472
Number of changes on loop 586 is 7711096
Number of changes on loop 587 is 7710236
Number of changes on loop 588 is 7707858
Number of changes on loop 589 is 7706163
Number of changes on loop 590 is 7705490
Number of changes on loop 591 is 7703801
Number of changes on loop 592 is 7703372
Number of changes on loop 593 is 7701919
Number of changes on loop 594 is 7700699
Number of changes on loop 595 is 7699145
Number of changes on loop 596 is 7698820
Number of changes on loop 597 is 7697194
Number of changes on loop 598 is 7695468
Number of changes on loop 599 is 7694018
Number of changes on loop 600 is 7692232
Number of changes on loop 601 is 7691217
Number of changes on loop 602 is 7689881
Number of changes on loop 603 is 7688763
Number of changes on loop 604 is 7687621
Number of changes on loop 605 is 7687016
Number of changes on loop 606 is 7686278
Number of changes on loop 607 is 7684007
Number of changes on loop 608 is 7683031
Number of changes on loop 609 is 7681399
Number of changes on loop 610 is 7679366
Number of changes on loop 611 is 7677965
Number of changes on loop 612 is 7677166
Number of changes on loop 613 is 7675492
Number of changes on loop 614 is 7673816
Number of changes on loop 615 is 7672380
Number of changes on loop 616 is 7670057
Number of changes on loop 617 is 7669723
Number of changes on loop 618 is 7668664
Number of changes on loop 619 is 7668628
Number of changes on loop 620 is 7666692
Number of changes on loop 621 is 7665350
Number of changes on loop 622 is 7665024
Number of changes on loop 623 is 7663859
Number of changes on loop 624 is 7662875
Number of changes on loop 625 is 7661720
Number of changes on loop 626 is 7659482
Number of changes on loop 627 is 7658385
Number of changes on loop 628 is 7657264
Number of changes on loop 629 is 7656287
Number of changes on loop 630 is 7655076
Number of changes on loop 631 is 7653273
Number of changes on loop 632 is 7652898
Number of changes on loop 633 is 7649390
Number of changes on loop 634 is 7648031
Number of changes on loop 635 is 7646533
Number of changes on loop 636 is 7644893
Number of changes on loop 637 is 7644986
Number of changes on loop 638 is 7642181
Number of changes on loop 639 is 7640789
Number of changes on loop 640 is 7639590
Number of changes on loop 641 is 7638309
Number of changes on loop 642 is 7636900
Number of changes on loop 643 is 7636305
Number of changes on loop 644 is 7634957
Number of changes on loop 645 is 7633557
Number of changes on loop 646 is 7631809
Number of changes on loop 647 is 7630728
Number of changes on loop 648 is 7628461
Number of changes on loop 649 is 7627324
Number of changes on loop 650 is 7625581
Number of changes on loop 651 is 7626389
Number of changes on loop 652 is 7624281
Number of changes on loop 653 is 7623123
Number of changes on loop 654 is 7621908
Number of changes on loop 655 is 7620814
Number of changes on loop 656 is 7618927
Number of changes on loop 657 is 7617416
Number of changes on loop 658 is 7615148
Number of changes on loop 659 is 7613271
Number of changes on loop 660 is 7613720
Number of changes on loop 661 is 7612800
Number of changes on loop 662 is 7611447
Number of changes on loop 663 is 7609638
Number of changes on loop 664 is 7608714
Number of changes on loop 665 is 7608163
Number of changes on loop 666 is 7605950
Number of changes on loop 667 is 7604384
Number of changes on loop 668 is 7603010
Number of changes on loop 669 is 7601651
Number of changes on loop 670 is 7600355
Number of changes on loop 671 is 7599082
Number of changes on loop 672 is 7596492
Number of changes on loop 673 is 7595750
Number of changes on loop 674 is 7593948
