Rho (density): 0.300000
Map width/height: 1500
Seed: 1564
Maximum number of clusters: 400
Data file: map.dat
PGM file: map.pgm
rho = 0.300000, actual density = 0.300108
Number of changes on loop 615 is 1194610
Number of changes on loop 616 is 1193566
Number of changes on loop 617 is 1193115
Number of changes on loop 618 is 1192493
Number of changes on loop 619 is 1191791
Number of changes on loop 620 is 1190831
Number of changes on loop 621 is 1190815
Number of changes on loop 622 is 1190065
Number of changes on loop 623 is 1189030
Number of changes on loop 624 is 1187440
Number of changes on loop 625 is 1186826
Number of changes on loop 626 is 1186066
Number of changes on loop 627 is 1186352
Number of changes on loop 628 is 1185768
Number of changes on loop 629 is 1184988
Number of changes on loop 630 is 1183938
Number of changes on loop 631 is 1183370
Number of changes on loop 632 is 1182451
Number of changes on loop 633 is 1181924
Number of changes on loop 634 is 1181544
Number of changes on loop 635 is 1180746
Number of changes on loop 636 is 1180255
Number of changes on loop 637 is 1180218
Number of changes on loop 638 is 1179859
Number of changes on loop 639 is 1178790
Number of changes on loop 640 is 1178433
Number of changes on loop 641 is 1177792
Number of changes on loop 642 is 1176393
Number of changes on loop 643 is 1174986
Number of changes on loop 644 is 1174384
Number of changes on loop 645 is 1174020
Number of changes on loop 646 is 1173529
Number of changes on loop 647 is 1172874
Number of changes on loop 648 is 1172795
Number of changes on loop 649 is 1172493
Number of changes on loop 650 is 1171565
Number of changes on loop 651 is 1170248
Number of changes on loop 652 is 1169330
Number of changes on loop 653 is 1168496
Number of changes on loop 654 is 1168049
Number of changes on loop 655 is 1167716
Number of changes on loop 656 is 1166580
Number of changes on loop 657 is 1166116
Number of changes on loop 658 is 1165200
Number of changes on loop 659 is 1164960
Number of changes on loop 660 is 1164491
Number of changes on loop 661 is 1163622
Number of changes on loop 662 is 1163213
Number of changes on loop 663 is 1162260
Number of changes on loop 664 is 1161382
Number of changes on loop 665 is 1160872
Number of changes on loop 666 is 1160188
Number of changes on loop 667 is 1159018
Number of changes on loop 668 is 1158099
Number of changes on loop 669 is 1157786
Number of changes on loop 670 is 1157666
Number of changes on loop 671 is 1157463
Number of changes on loop 672 is 1156605
Number of changes on loop 673 is 1155407
Number of changes on loop 674 is 1155010
Number of changes on loop 675 is 1154532
Number of changes on loop 676 is 1153374
Number of changes on loop 677 is 1152493
