Rho (density): 0.300000
Map width/height: 1000
Seed: 1564
Maximum number of clusters: 400
Data file: map.dat
PGM file: map.pgm
rho = 0.300000, actual density = 0.299961
Number of changes on loop 700 is 393783
Number of changes on loop 701 is 393046
Number of changes on loop 702 is 392465
Number of changes on loop 703 is 392644
Number of changes on loop 704 is 392090
Number of changes on loop 705 is 391643
Number of changes on loop 706 is 391148
Number of changes on loop 707 is 390271
Number of changes on loop 708 is 389597
Number of changes on loop 709 is 388226
Number of changes on loop 710 is 387478
Number of changes on loop 711 is 386745
Number of changes on loop 712 is 386762
Number of changes on loop 713 is 386247
Number of changes on loop 714 is 386248
Number of changes on loop 715 is 386551
Number of changes on loop 716 is 386032
Number of changes on loop 717 is 385025
Number of changes on loop 718 is 384485
Number of changes on loop 719 is 383519
Number of changes on loop 720 is 383583
Number of changes on loop 721 is 382407
Number of changes on loop 722 is 380788
Number of changes on loop 723 is 380501
Number of changes on loop 724 is 380481
Number of changes on loop 725 is 380522
Number of changes on loop 726 is 380406
Number of changes on loop 727 is 379626
Number of changes on loop 728 is 379073
Number of changes on loop 729 is 378011
Number of changes on loop 730 is 377582
Number of changes on loop 731 is 377001
Number of changes on loop 732 is 376252
Number of changes on loop 733 is 375707
Number of changes on loop 734 is 375200
Number of changes on loop 735 is 374386
Number of changes on loop 736 is 374287
Number of changes on loop 737 is 373812
Number of changes on loop 738 is 373438
Number of changes on loop 739 is 372894
Number of changes on loop 740 is 373017
Number of changes on loop 741 is 372671
Number of changes on loop 742 is 372209
Number of changes on loop 743 is 371368
Number of changes on loop 744 is 370785
Number of changes on loop 745 is 370338
Number of changes on loop 746 is 369281
Number of changes on loop 747 is 368431
Number of changes on loop 748 is 367582
Number of changes on loop 749 is 367527
Number of changes on loop 750 is 366786
Number of changes on loop 751 is 366539
Number of changes on loop 752 is 365378
Number of changes on loop 753 is 364919
Number of changes on loop 754 is 364713
Number of changes on loop 755 is 363716
Number of changes on loop 756 is 363033
Number of changes on loop 757 is 362639
Number of changes on loop 758 is 362179
Number of changes on loop 759 is 362066
Number of changes on loop 760 is 361577
Number of changes on loop 761 is 361155
Number of changes on loop 762 is 360205
Number of changes on loop 763 is 359753
Number of changes on loop 764 is 359630
Number of changes on loop 765 is 358697
Number of changes on loop 766 is 358178
Number of changes on loop 767 is 357580
Number of changes on loop 768 is 357229
Number of changes on loop 769 is 357092
Number of changes on loop 770 is 356492
Number of changes on loop 771 is 355907
Number of changes on loop 772 is 354431
Number of changes on loop 773 is 354041
Number of changes on loop 774 is 353833
Number of changes on loop 775 is 352620
Number of changes on loop 776 is 352498
Number of changes on loop 777 is 351953
Number of changes on loop 778 is 351806
Number of changes on loop 779 is 351397
Number of changes on loop 780 is 351125
Number of changes on loop 781 is 350974
Number of changes on loop 782 is 350314
Number of changes on loop 783 is 349787
Number of changes on loop 784 is 348906
Number of changes on loop 785 is 347982
Number of changes on loop 786 is 347689
Number of changes on loop 787 is 347799
Number of changes on loop 788 is 347221
Number of changes on loop 789 is 346647
Number of changes on loop 790 is 346058
Number of changes on loop 791 is 345690
Number of changes on loop 792 is 345063
Number of changes on loop 793 is 344445
Number of changes on loop 794 is 343588
Number of changes on loop 795 is 342993
