Rho (density): 0.300000
Map width/height: 2500
Seed: 1564
Maximum number of clusters: 400
Data file: map.dat
PGM file: map.pgm
rho = 0.300000, actual density = 0.299893
Number of changes on loop 520 is 3830488
Number of changes on loop 521 is 3829903
Number of changes on loop 522 is 3829786
Number of changes on loop 523 is 3829865
Number of changes on loop 524 is 3829390
Number of changes on loop 525 is 3826459
Number of changes on loop 526 is 3825880
Number of changes on loop 527 is 3825240
Number of changes on loop 528 is 3824161
Number of changes on loop 529 is 3823676
Number of changes on loop 530 is 3822474
Number of changes on loop 531 is 3821587
Number of changes on loop 532 is 3820310
Number of changes on loop 533 is 3818535
Number of changes on loop 534 is 3817850
Number of changes on loop 535 is 3816475
Number of changes on loop 536 is 3815554
Number of changes on loop 537 is 3814346
Number of changes on loop 538 is 3813504
Number of changes on loop 539 is 3812808
Number of changes on loop 540 is 3810519
Number of changes on loop 541 is 3809586
Number of changes on loop 542 is 3808762
Number of changes on loop 543 is 3807126
Number of changes on loop 544 is 3808093
Number of changes on loop 545 is 3807423
Number of changes on loop 546 is 3806007
Number of changes on loop 547 is 3805421
Number of changes on loop 548 is 3803328
Number of changes on loop 549 is 3802255
Number of changes on loop 550 is 3800632
Number of changes on loop 551 is 3800312
Number of changes on loop 552 is 3799294
Number of changes on loop 553 is 3798775
Number of changes on loop 554 is 3798854
Number of changes on loop 555 is 3797671
Number of changes on loop 556 is 3796932
Number of changes on loop 557 is 3795423
Number of changes on loop 558 is 3793822
Number of changes on loop 559 is 3792106
Number of changes on loop 560 is 3791560
Number of changes on loop 561 is 3789779
Number of changes on loop 562 is 3789165
Number of changes on loop 563 is 3788269
Number of changes on loop 564 is 3787318
Number of changes on loop 565 is 3785782
Number of changes on loop 566 is 3785054
Number of changes on loop 567 is 3783459
Number of changes on loop 568 is 3784006
Number of changes on loop 569 is 3782264
Number of changes on loop 570 is 3781931
Number of changes on loop 571 is 3780193
Number of changes on loop 572 is 3779751
Number of changes on loop 573 is 3778564
Number of changes on loop 574 is 3778331
Number of changes on loop 575 is 3777571
Number of changes on loop 576 is 3776411
Number of changes on loop 577 is 3774671
Number of changes on loop 578 is 3773900
Number of changes on loop 579 is 3771820
Number of changes on loop 580 is 3770490
Number of changes on loop 581 is 3770236
Number of changes on loop 582 is 3768737
Number of changes on loop 583 is 3767303
Number of changes on loop 584 is 3766447
Number of changes on loop 585 is 3766472
Number of changes on loop 586 is 3764763
Number of changes on loop 587 is 3763834
Number of changes on loop 588 is 3762915
Number of changes on loop 589 is 3761748
Number of changes on loop 590 is 3760806
Number of changes on loop 591 is 3760009
Number of changes on loop 592 is 3759087
Number of changes on loop 593 is 3757609
Number of changes on loop 594 is 3756913
Number of changes on loop 595 is 3756091
Number of changes on loop 596 is 3754705
Number of changes on loop 597 is 3754854
Number of changes on loop 598 is 3754268
Number of changes on loop 599 is 3754133
Number of changes on loop 600 is 3751793
Number of changes on loop 601 is 3750465
Number of changes on loop 602 is 3749382
Number of changes on loop 603 is 3748223
Number of changes on loop 604 is 3746968
Number of changes on loop 605 is 3746568
Number of changes on loop 606 is 3745289
Number of changes on loop 607 is 3744528
Number of changes on loop 608 is 3743688
Number of changes on loop 609 is 3743125
Number of changes on loop 610 is 3741956
Number of changes on loop 611 is 3741363
Number of changes on loop 612 is 3740217
Number of changes on loop 613 is 3738639
Number of changes on loop 614 is 3738055
Number of changes on loop 615 is 3737237
Number of changes on loop 616 is 3737434
Number of changes on loop 617 is 3734848
Number of changes on loop 618 is 3733663
Number of changes on loop 619 is 3731551
Number of changes on loop 620 is 3730863
Number of changes on loop 621 is 3729293
Number of changes on loop 622 is 3728577
Number of changes on loop 623 is 3727501
Number of changes on loop 624 is 3726491
Number of changes on loop 625 is 3725618
Number of changes on loop 626 is 3724301
Number of changes on loop 627 is 3724454
Number of changes on loop 628 is 3724370
Number of changes on loop 629 is 3722760
Number of changes on loop 630 is 3720848
Number of changes on loop 631 is 3719201
Number of changes on loop 632 is 3718633
Number of changes on loop 633 is 3718152
Number of changes on loop 634 is 3717365
Number of changes on loop 635 is 3717063
Number of changes on loop 636 is 3716121
Number of changes on loop 637 is 3714938
Number of changes on loop 638 is 3713171
Number of changes on loop 639 is 3712713
Number of changes on loop 640 is 3711409
Number of changes on loop 641 is 3710099
Number of changes on loop 642 is 3708133
Number of changes on loop 643 is 3707114
Number of changes on loop 644 is 3706796
Number of changes on loop 645 is 3706812
Number of changes on loop 646 is 3704805
Number of changes on loop 647 is 3703206
Number of changes on loop 648 is 3702331
Number of changes on loop 649 is 3701321
Number of changes on loop 650 is 3699951
Number of changes on loop 651 is 3699320
Number of changes on loop 652 is 3698036
Number of changes on loop 653 is 3697070
Number of changes on loop 654 is 3696255
Number of changes on loop 655 is 3695501
Number of changes on loop 656 is 3694241
Number of changes on loop 657 is 3692811
Number of changes on loop 658 is 3692312
Number of changes on loop 659 is 3692004
Number of changes on loop 660 is 3690416
Number of changes on loop 661 is 3689004
Number of changes on loop 662 is 3688350
Number of changes on loop 663 is 3687250
Number of changes on loop 664 is 3686448
Number of changes on loop 665 is 3685602
Number of changes on loop 666 is 3683891
Number of changes on loop 667 is 3682317
Number of changes on loop 668 is 3682021
Number of changes on loop 669 is 3680791
Number of changes on loop 670 is 3679922
Number of changes on loop 671 is 3679196
Number of changes on loop 672 is 3677760
Number of changes on loop 673 is 3676450
Number of changes on loop 674 is 3675187
Number of changes on loop 675 is 3674793
Number of changes on loop 676 is 3674491
Number of changes on loop 677 is 3672385
Number of changes on loop 678 is 3671696
Number of changes on loop 679 is 3671428
Number of changes on loop 680 is 3669526
